FEB label,FEB SN,channel,bais regulation,external voltage (V),measured voltage (V),DAC offset (V)
1,136,0,255,10,9.7200000000000006,-0.28000000000000003
1,136,1,255,10,9.5600000000000005,-0.44
1,136,2,255,10,9.8699999999999992,-0.13
1,136,3,255,10,9.6999999999999993,-0.29999999999999999
1,136,4,255,10,9.7799999999999994,-0.22
1,136,5,255,10,9.6699999999999999,-0.33000000000000002
1,136,6,255,10,9.6600000000000001,-0.34000000000000002
1,136,7,255,10,9.6600000000000001,-0.34000000000000002
1,136,8,255,10,9.7300000000000004,-0.27000000000000002
1,136,9,255,10,9.75,-0.25
1,136,10,255,10,9.5600000000000005,-0.44
1,136,11,255,10,9.6899999999999995,-0.31
1,136,12,255,10,9.8000000000000007,-0.20000000000000001
1,136,13,255,10,9.6999999999999993,-0.29999999999999999
1,136,14,255,10,9.7899999999999991,-0.20999999999999999
1,136,15,255,10,9.7400000000000002,-0.26000000000000001
1,136,16,255,10,9.6999999999999993,-0.29999999999999999
1,136,17,255,10,9.6600000000000001,-0.34000000000000002
1,136,18,255,10,9.6400000000000006,-0.35999999999999999
1,136,19,255,10,9.6899999999999995,-0.31
1,136,20,255,10,9.8499999999999996,-0.14999999999999999
1,136,21,255,10,9.7949999999999999,-0.20499999999999999
1,136,22,255,10,9.8000000000000007,-0.20000000000000001
1,136,23,255,10,9.6899999999999995,-0.31
1,136,24,255,10,9.6600000000000001,-0.34000000000000002
1,136,25,255,10,9.75,-0.25
1,136,26,255,10,9.75,-0.25
1,136,27,255,10,9.7400000000000002,-0.26000000000000001
1,136,28,255,10,9.6400000000000006,-0.35999999999999999
1,136,29,255,10,9.8000000000000007,-0.20000000000000001
1,136,30,255,10,9.7300000000000004,-0.27000000000000002
1,136,31,255,10,9.7300000000000004,-0.27000000000000002
