High Gain,centroid (ch),RMS (ch),RMS (% FSR),RMS (fC),Vout (mV),Gain (mV/pC),Gain (ch/pC),FSR (pC)
5,234,3.8,0.093,14615,51.4,57.13,260,15.75
10,255,4,0.098,14118,56,62.26,283.33,14.46
15,279,4.3,0.105,13871,61.3,68.12,310,13.21
20,312,4.5,0.11,12981,68.6,76.17,346.67,11.82
25,348,4.6,0.112,11897,76.5,84.96,386.67,10.59
30,393,4.7,0.115,10763,86.4,95.95,436.67,9.38
35,450,5,0.122,10000,98.9,109.86,500,8.19
40,530,5.4,0.132,9170,116.5,129.39,588.89,6.96
45,635,6.3,0.154,8929,139.5,155.03,705.56,5.81
50,788,7.2,0.176,8223,173.1,192.38,875.56,4.68
52,884,7.7,0.188,7839,194.2,215.82,982.22,4.17
54,979,8.5,0.208,7851,215.1,239.01,1087.78,3.77
56,1118,9.7,0.237,7809,245.7,272.95,1242.22,3.3
58,1274,10.7,0.261,7559,279.9,311.04,1415.56,2.89
60,1537,13.5,0.33,7905,337.7,375.24,1707.78,2.4
62,1850,16,0.391,7784,406.5,451.66,2055.56,1.99
63,2063,19,0.464,8289,453.3,503.66,2292.22,1.79
